Xcoord,Ycoord
2023090,794799
2022900,794979
2023440,795344
2023430,795527
2023530,795807
2023910,796201
2023920,795970
2023600,796498
2023750,796771
2023420,796740
2023310,796514
2023230,796805
2022680,796948
2023110,796946
2024540,797297
2024710,797145
2024580,796704
2024720,796487
2024720,796697
2024780,796908
2024910,797026
2025050,797364
2025460,797695
2025960,798177
2025020,796475
2025850,794440
2025640,794186
2025470,794176
2025160,794058
2025150,794414
2025120,795170
2024490,794330
2024590,794112
2024780,794210
2024860,793919
2024630,793764
2024460,793963
2024500,794621
2023540,795995
2023560,794750
2023590,794297
2023420,794366
2023320,794513
2023200,794169
2023390,794010
2023580,793889
2023920,793631
2023730,793211
2023520,793293
2023230,793702
2023070,793450
2022560,793429
2022330,793263
2022000,793498
2022020,792947
2022450,792808
2022760,792567
2022720,793102
2022960,792819
2023020,793112
2023250,792930
2023590,792790
2023190,792334
2023550,792316
2023500,792003
2023820,791635
2023900,791969
2023940,792271
2023910,792563
2023920,792843
2023850,793070
2024440,793251
2024870,793194
2024900,792333
2024830,792775
2024520,792716
2024220,792961
2024150,792594
2024490,792431
2024730,792171
2024550,791891
2024260,792102
2024110,791656
2024550,791600
2025120,791695
2024700,791351
2024270,791213
2023800,791225
2023870,790724
2023990,790350
2024340,790328
2024690,790423
2024580,790834
2025170,791188
2025630,790733
2025310,790415
2024680,789841
2023860,789736
2023760,790114
2022610,790906
2022580,789740
2022530,790248
2022270,789655
2021540,789669
2021330,790214
2021860,791401
2023340,791680
2023500,792292
2023070,792188
2023250,792699
2023030,792559
2022050,792667
2019970,789734
2020460,789749
2021040,789153
2020610,788378
2022160,788007
2022840,787204
2022840,788304
2023180,789091
2024700,798000
2024420,797820
2024190,798140
2024820,798472
2023550,798882
2024870,799411
2024760,799821
2024780,800371
2025590,800336
2026180,800157
2025480,799495
2026070,799363
2026730,798962
2027400,798356
2027110,797850
2026860,797607
2027490,797546
2027970,797329
